# A  Zitrin 1/2016
# what you asked for: a file where each line contains the TD of the
# three images (wrt image 1), these are the first two columns, the
# magnification of the three images, respectively (these are the three
# next columns) and the chi2, this is the seventh column. There are 1000
# lines corresponding to 1000 MCMC steps (including repetition, so this
# means in total the results correspond to a few hundred different
# models or so).
#       dt12           dt13              mu1           mu2              mu3           chi2
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.1365317e+01  -1.4706494e+03   1.1403489e+02   2.0340187e+01   3.1210355e+00   9.2086797e+01
    3.0353729e+01  -1.4914959e+03   1.0014210e+02   2.1011016e+01   3.1464787e+00   9.2517920e+01
    3.3103421e+01  -1.5126987e+03   9.7360330e+01   2.1199890e+01   3.1301172e+00   9.2150028e+01
    3.0560553e+01  -1.4956561e+03   8.4048969e+01   2.1970407e+01   3.1273051e+00   9.0356559e+01
    3.0560553e+01  -1.4956561e+03   8.4048969e+01   2.1970407e+01   3.1273051e+00   9.0356559e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.2856918e+01  -1.4809892e+03   8.3333256e+01   2.2292975e+01   3.1284878e+00   8.9632273e+01
    3.7070581e+01  -1.4719579e+03   1.0388320e+02   2.1384585e+01   3.1078074e+00   1.0194513e+02
    3.9970975e+01  -1.4458027e+03   1.5456976e+02   2.0114944e+01   3.0958779e+00   9.7927069e+01
    3.9970975e+01  -1.4458027e+03   1.5456976e+02   2.0114944e+01   3.0958779e+00   9.7927069e+01
    3.9970975e+01  -1.4458027e+03   1.5456976e+02   2.0114944e+01   3.0958779e+00   9.7927069e+01
    3.9970975e+01  -1.4458027e+03   1.5456976e+02   2.0114944e+01   3.0958779e+00   9.7927069e+01
    3.9970975e+01  -1.4458027e+03   1.5456976e+02   2.0114944e+01   3.0958779e+00   9.7927069e+01
    3.6021324e+01  -1.4497317e+03   1.1698265e+02   2.0656877e+01   3.0922612e+00   9.4581559e+01
    3.6021324e+01  -1.4497317e+03   1.1698265e+02   2.0656877e+01   3.0922612e+00   9.4581559e+01
    3.8081921e+01  -1.4537846e+03   1.2725932e+02   2.0359482e+01   3.0837454e+00   9.6599212e+01
    3.8081921e+01  -1.4537846e+03   1.2725932e+02   2.0359482e+01   3.0837454e+00   9.6599212e+01
    3.5378875e+01  -1.4912792e+03   8.1948413e+01   2.2161598e+01   3.0905782e+00   9.6685437e+01
    3.5378875e+01  -1.4912792e+03   8.1948413e+01   2.2161598e+01   3.0905782e+00   9.6685437e+01
    4.0547278e+01  -1.4595681e+03   1.0514340e+02   2.1795999e+01   3.1162754e+00   9.6681604e+01
    4.0547278e+01  -1.4595681e+03   1.0514340e+02   2.1795999e+01   3.1162754e+00   9.6681604e+01
    3.9761529e+01  -1.4642052e+03   1.0591364e+02   2.1854761e+01   3.1401569e+00   9.1149824e+01
    3.9761529e+01  -1.4642052e+03   1.0591364e+02   2.1854761e+01   3.1401569e+00   9.1149824e+01
    3.9761529e+01  -1.4642052e+03   1.0591364e+02   2.1854761e+01   3.1401569e+00   9.1149824e+01
    3.5828135e+01  -1.4354926e+03   9.2201407e+01   2.2381838e+01   3.1441165e+00   9.6444008e+01
    4.0902579e+01  -1.4552599e+03   1.3340559e+02   2.0488557e+01   3.1016474e+00   9.2736355e+01
    3.7942659e+01  -1.4180124e+03   1.3840366e+02   2.0357089e+01   3.0995556e+00   9.0597988e+01
    4.1928078e+01  -1.4373429e+03   1.4742677e+02   2.0485853e+01   3.1076818e+00   8.8804518e+01
    4.1928078e+01  -1.4373429e+03   1.4742677e+02   2.0485853e+01   3.1076818e+00   8.8804518e+01
    4.1928078e+01  -1.4373429e+03   1.4742677e+02   2.0485853e+01   3.1076818e+00   8.8804518e+01
    4.1928078e+01  -1.4373429e+03   1.4742677e+02   2.0485853e+01   3.1076818e+00   8.8804518e+01
    3.9052514e+01  -1.4232406e+03   1.0804089e+02   2.1957204e+01   3.1346682e+00   9.7214280e+01
    3.9052514e+01  -1.4232406e+03   1.0804089e+02   2.1957204e+01   3.1346682e+00   9.7214280e+01
    3.7361820e+01  -1.4093085e+03   9.8769324e+01   2.2673989e+01   3.1534413e+00   9.7388645e+01
    4.1666401e+01  -1.4732723e+03   1.1318991e+02   2.1413424e+01   3.1226638e+00   8.9132171e+01
    4.1666401e+01  -1.4732723e+03   1.1318991e+02   2.1413424e+01   3.1226638e+00   8.9132171e+01
    4.1666401e+01  -1.4732723e+03   1.1318991e+02   2.1413424e+01   3.1226638e+00   8.9132171e+01
    4.3779732e+01  -1.4555592e+03   1.2372098e+02   2.1566788e+01   3.1319002e+00   9.1577115e+01
    3.9464810e+01  -1.4036748e+03   1.1646884e+02   2.2308465e+01   3.1723252e+00   8.7145176e+01
    3.9464810e+01  -1.4036748e+03   1.1646884e+02   2.2308465e+01   3.1723252e+00   8.7145176e+01
    4.2466636e+01  -1.3974994e+03   1.3288269e+02   2.1929964e+01   3.1551211e+00   8.5915040e+01
    4.2466636e+01  -1.3974994e+03   1.3288269e+02   2.1929964e+01   3.1551211e+00   8.5915040e+01
    4.2466636e+01  -1.3974994e+03   1.3288269e+02   2.1929964e+01   3.1551211e+00   8.5915040e+01
    4.4404651e+01  -1.4359329e+03   1.0973810e+02   2.2543741e+01   3.1464027e+00   8.3816910e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.5833013e+01  -1.4063638e+03   1.2901752e+02   2.2002050e+01   3.1313000e+00   9.1122999e+01
    4.6267000e+01  -1.3776687e+03   1.3372454e+02   2.1983603e+01   3.1150634e+00   9.9170618e+01
    4.7683078e+01  -1.3683685e+03   1.6420934e+02   2.1586803e+01   3.1099939e+00   9.6376944e+01
    4.7683078e+01  -1.3683685e+03   1.6420934e+02   2.1586803e+01   3.1099939e+00   9.6376944e+01
    4.7683078e+01  -1.3683685e+03   1.6420934e+02   2.1586803e+01   3.1099939e+00   9.6376944e+01
    4.3999346e+01  -1.3844177e+03   1.4350382e+02   2.1944890e+01   3.1295789e+00   9.3157897e+01
    4.2064441e+01  -1.3961582e+03   1.5223776e+02   2.1404957e+01   3.1122367e+00   9.1718906e+01
    4.2064441e+01  -1.3961582e+03   1.5223776e+02   2.1404957e+01   3.1122367e+00   9.1718906e+01
    4.1990015e+01  -1.4120849e+03   1.3853363e+02   2.1898027e+01   3.1223604e+00   9.2333974e+01
    4.1990015e+01  -1.4120849e+03   1.3853363e+02   2.1898027e+01   3.1223604e+00   9.2333974e+01
    4.1990015e+01  -1.4120849e+03   1.3853363e+02   2.1898027e+01   3.1223604e+00   9.2333974e+01
    4.1990015e+01  -1.4120849e+03   1.3853363e+02   2.1898027e+01   3.1223604e+00   9.2333974e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    4.1275056e+01  -1.3804798e+03   1.7371901e+02   2.1390276e+01   3.1355378e+00   8.6604836e+01
    3.9039599e+01  -1.4103928e+03   1.2697960e+02   2.1760663e+01   3.1182282e+00   9.9461865e+01
    3.8911907e+01  -1.4653694e+03   1.0403860e+02   2.2633841e+01   3.1464412e+00   9.1488974e+01
    3.4390530e+01  -1.4478872e+03   8.9045002e+01   2.3150076e+01   3.1413928e+00   9.0925641e+01
    3.5808701e+01  -1.4418876e+03   9.3558564e+01   2.3536283e+01   3.1642932e+00   8.6246525e+01
    3.4947692e+01  -1.4483400e+03   8.1484189e+01   2.4170018e+01   3.1502117e+00   8.9793226e+01
    3.4947692e+01  -1.4483400e+03   8.1484189e+01   2.4170018e+01   3.1502117e+00   8.9793226e+01
