#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockSE            64.03900   -24.07024  56880.88   F160W   inf     0.0829   0.0430     28.6504   0.5633     AB   25.9462   0.0002 0.0038  spock_f160w_e51-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56881.94   F160W   inf    -0.0168   0.0826     27.4609  -9.0000     AB   25.9462   0.0002 0.0038  spock_f160w_e52-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56890.04   F160W   inf     0.0228   0.0513     30.0537   2.4456     AB   25.9462   0.0001 0.0037  spock_f160w_e54-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56899.00   F160W   inf     0.3132   0.0461     27.2066   0.1599     AB   25.9462   0.0004 0.0038  spock_f160w_e57-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56899.27   F160W   inf     0.3338   0.0415     27.1374   0.1349     AB   25.9462   0.0001 0.0038  spock_f160w_e58-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56900.33   F160W   inf     0.4216   0.0486     26.8839   0.1250     AB   25.9462   0.0001 0.0038  spock_f160w_e60-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56915.73   F160W   inf     0.0349   0.0781     29.5880   2.4285     AB   25.9462   0.0004 0.0063  spock_f160w_e63-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56922.41   F160W   inf     0.0242   0.1547     29.9872   6.9461     AB   25.9462   0.0001 0.0091  spock_f160w_e65-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56928.13   F160W   inf    -0.1849   0.3070     26.0354  -9.0000     AB   25.9462   0.0007 0.0091  spock_f160w_e66-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56159.54   F435W   inf     0.0011   0.0037     33.0607   3.6508     AB   25.6650  -0.0001 0.0041  spock_f435w_e05-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56184.77   F435W   inf    -0.0048   0.0065     29.9339  -9.0000     AB   25.6650  -0.0000 0.0046  spock_f435w_e08-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56664.04   F435W   inf     0.0166   0.0172     30.1138   1.1237     AB   25.6650   0.0000 0.0017  spock_f435w_e12-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56665.77   F435W   inf    -0.0096   0.0198     28.7282  -9.0000     AB   25.6650  -0.0000 0.0017  spock_f435w_e15-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56668.64   F435W   inf     0.0223   0.0180     29.7934   0.8765     AB   25.6650   0.0000 0.0021  spock_f435w_e17-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56670.55   F435W   inf     0.0241   0.0220     29.7097   0.9903     AB   25.6650   0.0000 0.0022  spock_f435w_e19-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.03   F435W   inf     0.0260   0.0198     29.6280   0.8270     AB   25.6650   0.0000 0.0022  spock_f435w_e23-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.56   F435W   inf    -0.0235   0.0329     28.1784  -9.0000     AB   25.6650  -0.0000 0.0021  spock_f435w_e25-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56672.83   F435W   inf    -0.0325   0.0383     28.0137  -9.0000     AB   25.6650  -0.0000 0.0021  spock_f435w_e26-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56679.45   F435W   inf     0.0093   0.0179     30.7431   2.0875     AB   25.6650   0.0000 0.0017  spock_f435w_e30-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56686.51   F435W   inf    -0.0131   0.0265     28.4125  -9.0000     AB   25.6650   0.0000 0.0017  spock_f435w_e35-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56696.27   F435W   inf     0.0047   0.0247     31.4778   5.6651     AB   25.6650   0.0000 0.0021  spock_f435w_e39-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56144.78   F606W   inf     0.2550   0.1913     27.9765   0.8144     AB   26.4930  -0.0004 0.0066  spock_f606w_e03-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56170.73   F606W   inf     0.0473   0.0667     29.8062   1.5313     AB   26.4930  -0.0002 0.0072  spock_f606w_e06-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56663.53   F606W   inf     0.0049   0.0292     32.2671   6.4604     AB   26.4930   0.0001 0.0024  spock_f606w_e11-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56665.45   F606W   inf     0.0171   0.0278     30.9122   1.7651     AB   26.4930   0.0001 0.0024  spock_f606w_e14-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56671.56   F606W   inf    -0.0234   0.0473     28.6121  -9.0000     AB   26.4930   0.0001 0.0028  spock_f606w_e22-e00_sub_masked.fits
spockSE            64.03900   -24.07024  56678.46   F606W   inf    -0.0132   0.0316     29.0517  -9.0000     AB   26.4930  -0.0000 0.0023  spock_f606w_e28-e00_sub_masked.fits
