#  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
spockNW            64.03857   -24.06994  56670.70   F814W   inf     0.1342   0.0215     28.1273   0.1742     AB   25.9470  -0.0000 0.0024  spock_f814w_e20-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56671.35   F814W   inf     0.2358   0.0208     27.5155   0.0959     AB   25.9470   0.0000 0.0025  spock_f814w_e21-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56671.70   F814W   inf     0.2901   0.0227     27.2907   0.0851     AB   25.9470  -0.0000 0.0024  spock_f814w_e22-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.21   F814W   inf     0.4815   0.0202     26.7406   0.0457     AB   25.9470  -0.0000 0.0025  spock_f814w_e23-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.43   F814W   inf     0.4661   0.0237     26.7757   0.0552     AB   25.9470  -0.0000 0.0024  spock_f814w_e24-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.69   F814W   inf     0.5484   0.0228     26.5993   0.0452     AB   25.9470  -0.0000 0.0024  spock_f814w_e25-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56672.96   F814W   inf     0.4600   0.0233     26.7900   0.0550     AB   25.9470  -0.0000 0.0025  spock_f814w_e26-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56676.68   F814W   inf     0.0128   0.0239     30.6767   2.0228     AB   25.9470   0.0000 0.0024  spock_f814w_e27-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56679.01   F814W   inf    -0.0101   0.0330     28.4583  -9.0000     AB   25.9470  -0.0000 0.0022  spock_f814w_e29-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56680.53   F814W   inf    -0.0719   0.0556     27.8911  -9.0000     AB   25.9470   0.0001 0.0022  spock_f814w_e31-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56681.60   F814W   inf    -0.0137   0.0303     28.5504  -9.0000     AB   25.9470  -0.0001 0.0022  spock_f814w_e32-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56686.36   F814W   inf    -0.0350   0.0449     28.1230  -9.0000     AB   25.9470  -0.0000 0.0022  spock_f814w_e34-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56686.64   F814W   inf    -0.0604   0.0508     27.9897  -9.0000     AB   25.9470  -0.0000 0.0022  spock_f814w_e35-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56691.36   F814W   inf    -0.0487   0.0490     28.0279  -9.0000     AB   25.9470  -0.0000 0.0027  spock_f814w_e38-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56697.73   F814W   inf    -0.0262   0.0338     28.4335  -9.0000     AB   25.9470  -0.0000 0.0019  spock_f814w_e40-e00_sub_masked.fits
spockNW            64.03857   -24.06994  56916.98   F814W   inf     0.0043   0.0610     31.8629  15.4012     AB   25.9470  -0.0001 0.0053  spock_f814w_e64-e00_sub_masked.fits
