# event obsband deltatpk mpk fnupk trise t2 t3 restband kcor
   nw f814w     -1.3 27.9 0.025   4.7 3.15 3.3         bessellb  -0.813 
   nw f435w     -1.2 27.93 0.0243   4.8 3.099 3.2        bessellux  0.180 
   nw f814w     -1.2 27.81 0.0273   4.8 2.923 3.2         bessellb  -0.815 
   nw f435w     -1.1 27.82 0.027   4.9 2.847 3.1        bessellux  0.165 
   nw f814w     -1.1 27.72 0.0298   4.9 2.714 3.1         bessellb  -0.817 
   nw f435w     -1.0 27.71 0.0299   5.0 2.62 3.0        bessellux  0.158 
   nw f814w     -1.0 27.62 0.0325   5.0 2.522 3.0         bessellb  -0.817 
   nw f435w     -0.9 27.6 0.0332   5.1 2.415 2.9        bessellux  0.143 
   nw f814w     -0.9 27.53 0.0354   5.1 2.345 2.9         bessellb  -0.819 
   nw f435w     -0.8 27.49 0.0368   5.2 2.228 2.8        bessellux  0.136 
   nw f814w     -0.8 27.43 0.0386   5.2 2.181 2.8         bessellb  -0.819 
   nw f435w     -0.7 27.37 0.0408   5.3 2.056 2.7        bessellux  0.113 
   nw f814w     -0.7 27.34 0.0421   5.3 2.029 2.7         bessellb  -0.821 
   nw f435w     -0.6 27.26 0.0452   5.4 1.899 2.6        bessellux  0.106 
   nw f814w     -0.6 27.24 0.046   5.4 1.887 2.6         bessellb  -0.822 
   nw f435w     -0.5 27.15 0.0501   5.5 1.754 2.5        bessellux  0.092 
   nw f814w     -0.5 27.15 0.0501   5.5 1.754 2.5         bessellb  -0.823 
   nw f435w     -0.4 27.04 0.0556   5.6 1.62 2.4        bessellux  0.084 
   nw f814w     -0.4 27.05 0.0547   5.6 1.63 2.4         bessellb  -0.824 
   nw f435w     -0.3 26.93 0.0616   5.7 1.496 2.244        bessellux  0.070 
   nw f814w     -0.3 26.96 0.0597   5.7 1.513 2.27         bessellb  -0.826 
   nw f435w     -0.2 26.81 0.0683   5.8 1.381 2.071        bessellux  0.048 
   nw f814w     -0.2 26.87 0.0651   5.8 1.404 2.106         bessellb  -0.828 
   nw f435w     -0.1 26.7 0.0758   5.9 1.273 1.91        bessellux  0.041 
   nw f814w     -0.1 26.77 0.071   5.9 1.301 1.951         bessellb  -0.829 
   nw f435w      0.0 26.59 0.084   6.0 1.173 1.759        bessellux  0.027 
   nw f814w      0.0 26.68 0.0775   6.0 1.204 1.806         bessellb  -0.830 
   nw f435w      0.1 26.48 0.0931   6.1 1.079 1.618        bessellux  0.020 
   nw f814w      0.1 26.58 0.0845   6.1 1.112 1.668         bessellb  -0.831 
   nw f435w      0.2 26.37 0.1033   6.2 0.99 1.486        bessellux  0.005 
   nw f814w      0.2 26.49 0.0922   6.2 1.025 1.538         bessellb  -0.833 
   nw f435w      0.3 26.25 0.1145   6.3 0.907 1.361        bessellux  -0.009 
   nw f814w      0.3 26.39 0.1005   6.3 0.943 1.414         bessellb  -0.834 
   nw f435w      0.4 26.14 0.1269   6.4 0.829 1.244        bessellux  -0.023 
   nw f814w      0.4 26.3 0.1097   6.4 0.865 1.297         bessellb  -0.836 
   nw f435w      0.5 26.03 0.1407   6.5 0.755 1.133        bessellux  -0.037 
   nw f814w      0.5 26.21 0.1196   6.5 0.791 1.186         bessellb  -0.838 
   nw f435w      0.6 25.92 0.156   6.6 0.686 1.029        bessellux  -0.044 
   nw f814w      0.6 26.11 0.1305   6.6 0.72 1.08         bessellb  -0.838 
   nw f435w      0.7 25.8 0.173   6.7 0.62 0.93        bessellux  -0.065 
   nw f814w      0.7 26.02 0.1424   6.7 0.653 0.979         bessellb  -0.841 
   nw f435w      0.8 25.69 0.1918   6.8 0.557 0.836        bessellux  -0.072 
   nw f814w      0.8 25.92 0.1553   6.8 0.589 0.883         bessellb  -0.842 
   nw f435w      0.9 25.58 0.2127   6.9 0.498 0.747        bessellux  -0.086 
   nw f814w      0.9 25.83 0.1694   6.9 0.527 0.791         bessellb  -0.844 
   nw f435w      1.0 25.47 0.2358   7.0 0.441 0.662        bessellux  -0.092 
   nw f814w      1.0 25.73 0.1848   7.0 0.469 0.703         bessellb  -0.844 
   nw f435w      1.1 25.36 0.2615   7.1 0.388 0.581        bessellux  -0.106 
   nw f814w      1.1 25.64 0.2016   7.1 0.413 0.619         bessellb  -0.846 
   nw f435w      1.2 25.24 0.2899   7.2 0.336 0.505        bessellux  -0.120 
   nw f814w      1.2 25.54 0.2199   7.2 0.359 0.539         bessellb  -0.848 
   nw f435w      1.3 25.13 0.3215   7.3 0.288 0.431        bessellux  -0.133 
   nw f814w      1.3 25.45 0.2399   7.3 0.308 0.462         bessellb  -0.850 
   nw f435w      1.4 25.02 0.3564   7.4 0.241 0.361        bessellux  -0.147 
   nw f814w      1.4 25.36 0.2617   7.4 0.258 0.388         bessellb  -0.852 
   nw f435w      1.5 24.91 0.3952   7.5 0.196 0.295        bessellux  -0.154 
   nw f814w      1.5 25.26 0.2855   7.5 0.211 0.317         bessellb  -0.853 
   nw f435w      1.6 24.8 0.4382   7.6 0.154 0.231        bessellux  -0.167 
   nw f814w      1.6 25.17 0.3114   7.6 0.166 0.248         bessellb  -0.855 
   nw f435w      1.7 24.68 0.4858   7.7 0.113 0.169        bessellux  -0.180 
   nw f814w      1.7 25.07 0.3397   7.7 0.122 0.183         bessellb  -0.857 
   nw f435w      1.8 24.57 0.5386   7.8 0.074 0.111        bessellux  -0.194 
   nw f814w      1.8 24.98 0.3705   7.8 0.08 0.119         bessellb  -0.859 
