# R. Kawamata 1/2016
# magnification_NW, time-delay_NW, 
# magnification_SE, time-delay_SE, magnification_11.3, and time-delay_11.3.
# The time delays are given in days with respect to 11.3
#  mu1        dt31            mu2           dt32          mu3          
-4.261700e+01  1.977365e+03  7.911810e+01  1.975684e+03  2.928200e+00  
-2.142251e+02  2.261525e+03  3.080381e+02  2.261479e+03  2.737100e+00  
-3.224314e+02  2.103042e+03  5.419606e+02  2.103017e+03  2.832400e+00  
-2.234080e+01  1.883315e+03  6.857410e+01  1.876373e+03  2.954700e+00  
-4.823260e+01  1.911033e+03  1.039361e+02  1.909938e+03  2.915300e+00  
-3.174320e+01  2.029571e+03  6.417160e+01  2.026685e+03  2.868500e+00  
-4.141000e+01  1.971938e+03  1.261130e+02  1.967690e+03  2.900100e+00  
-2.838590e+01  1.964892e+03  8.041180e+01  1.960966e+03  2.855000e+00  
-2.775730e+01  2.011915e+03  7.580720e+01  2.007834e+03  2.793200e+00  
-1.304518e+02  2.049293e+03  3.085136e+02  2.049157e+03  2.835900e+00  
-3.742570e+01  1.941551e+03  1.661771e+02  1.939259e+03  2.944400e+00  
-4.694260e+01  1.858158e+03  1.146558e+02  1.856616e+03  2.950600e+00  
-3.716310e+01  2.056081e+03  9.704860e+01  2.053914e+03  2.778100e+00  
-3.250700e+01  1.969813e+03  7.263720e+01  1.964918e+03  2.839800e+00  
-3.330420e+01  2.149838e+03  1.057025e+02  2.146784e+03  2.732100e+00  
-8.327550e+01  2.189084e+03  4.118487e+02  2.188620e+03  2.691300e+00  
-1.299317e+02  2.020948e+03  2.416758e+02  2.020800e+03  2.879900e+00  
-3.488730e+01  1.847264e+03  9.536320e+01  1.844254e+03  2.925600e+00  
-2.132998e+02  1.808874e+03  2.569021e+02  1.808845e+03  3.060100e+00  
-7.422680e+01  1.761177e+03  1.801294e+02  1.760655e+03  3.033200e+00  
-6.567000e+01  1.677445e+03  1.195409e+02  1.676944e+03  3.181400e+00  
-4.814720e+01  1.956338e+03  1.136822e+02  1.954920e+03  2.912000e+00  
-3.761100e+01  2.064994e+03  1.040744e+02  2.062584e+03  2.797000e+00  
-5.226370e+01  1.862133e+03  1.379336e+02  1.860688e+03  2.952700e+00  
-7.417370e+01  1.892962e+03  1.329061e+02  1.892499e+03  2.988300e+00  
-3.596410e+01  1.787884e+03  1.006516e+02  1.784935e+03  2.979100e+00  
-3.530500e+01  1.644402e+03  1.161997e+02  1.641633e+03  3.103900e+00  
-8.141040e+01  2.206307e+03  1.655459e+02  2.205560e+03  2.672900e+00  
-7.119580e+01  2.054792e+03  2.558623e+02  2.054074e+03  2.828900e+00  
-3.631790e+01  2.086776e+03  1.120930e+02  2.083848e+03  2.745200e+00  
-1.449580e+01  1.581814e+03  5.930580e+01  1.564245e+03  3.107500e+00  
-4.180800e+01  1.988222e+03  1.878168e+02  1.986290e+03  2.889000e+00  
-4.794920e+01  2.062965e+03  2.289440e+02  2.061430e+03  2.803400e+00  
-2.031540e+01  1.809233e+03  6.569740e+01  1.800479e+03  2.922500e+00  
-8.296190e+01  1.832898e+03  2.144103e+02  1.832469e+03  2.974000e+00  
-2.769340e+01  1.740256e+03  7.961610e+01  1.735647e+03  2.972900e+00  
-3.051510e+01  1.880569e+03  5.997940e+01  1.877404e+03  2.847500e+00  
-8.797420e+01  1.959485e+03  2.002832e+02  1.958892e+03  2.883100e+00  
-3.588420e+01  1.749421e+03  7.840700e+01  1.746782e+03  2.998600e+00  
-2.037450e+01  1.971948e+03  5.414200e+01  1.964013e+03  2.876000e+00  
-1.823980e+01  1.769232e+03  3.444240e+01  1.759799e+03  3.025900e+00  
-1.611020e+01  1.876312e+03  3.103400e+01  1.864505e+03  2.920500e+00  
-1.748950e+01  1.708941e+03  4.069680e+01  1.697356e+03  3.132300e+00  
-2.618680e+01  1.948514e+03  7.188250e+01  1.943118e+03  2.967700e+00  
-2.595570e+01  1.953192e+03  7.029420e+01  1.947741e+03  2.970800e+00  
-3.396450e+01  2.013738e+03  7.623620e+01  2.010731e+03  2.919600e+00  
-2.703010e+01  1.969103e+03  5.268790e+01  1.964835e+03  2.945200e+00  
-1.627950e+01  1.564038e+03  4.606700e+01  1.549496e+03  3.257100e+00  
-2.008800e+01  1.528249e+03  4.296740e+01  1.519225e+03  3.315500e+00  
-1.938830e+01  1.491252e+03  6.188310e+01  1.480288e+03  3.383200e+00  
-2.030300e+01  1.688338e+03  4.841260e+01  1.679633e+03  3.134500e+00  
-2.321600e+01  1.614785e+03  6.742540e+01  1.607390e+03  3.237800e+00  
-5.508470e+01  1.924512e+03  8.250580e+01  1.923664e+03  3.011600e+00  
-2.593000e+01  1.688081e+03  7.796320e+01  1.682504e+03  3.106500e+00  
-3.296430e+01  1.716871e+03  8.650930e+01  1.713103e+03  3.116300e+00  
-2.041630e+01  1.506620e+03  5.460400e+01  1.497680e+03  3.199500e+00  
-1.421950e+02  1.845307e+03  2.780777e+02  1.845141e+03  2.995700e+00  
-2.332990e+01  1.605213e+03  6.822240e+01  1.598226e+03  3.133900e+00  
-2.178900e+01  1.674250e+03  5.067150e+01  1.666872e+03  3.061500e+00  
-6.946700e+01  1.728729e+03  1.728750e+02  1.727722e+03  3.074900e+00  
-2.913910e+01  1.511607e+03  6.579180e+01  1.506944e+03  3.335300e+00  
-2.415750e+01  1.448311e+03  5.467050e+01  1.441454e+03  3.374900e+00  
-1.863600e+01  1.298280e+03  7.469970e+01  1.285474e+03  3.533600e+00  
-1.979550e+01  1.508045e+03  6.026610e+01  1.497688e+03  3.297200e+00  
-2.229140e+01  1.512661e+03  6.716430e+01  1.504283e+03  3.329600e+00  
-1.966460e+01  1.411459e+03  9.729530e+01  1.400884e+03  3.354300e+00  
-1.557111e+02  1.704797e+03  2.485662e+02  1.704517e+03  3.096800e+00  
-6.331580e+01  1.683451e+03  1.215462e+02  1.682160e+03  3.117000e+00  
-3.745530e+01  1.569342e+03  9.563890e+01  1.566112e+03  3.235500e+00  
-3.306650e+01  1.420926e+03  8.217550e+01  1.417120e+03  3.423300e+00  
-5.819170e+01  1.608566e+03  1.164183e+02  1.607088e+03  3.219200e+00  
-3.030180e+01  1.394742e+03  1.627791e+02  1.390516e+03  3.404600e+00  
-5.455740e+01  1.521993e+03  1.451837e+02  1.520871e+03  3.338700e+00  
-4.621820e+01  1.646419e+03  1.058731e+02  1.644321e+03  3.165800e+00  
-2.061900e+02  1.596973e+03  4.694395e+02  1.596836e+03  3.222800e+00  
-1.641850e+01  1.362046e+03  3.819780e+01  1.346862e+03  3.466200e+00  
