# m_1o t_1o t_3o x_1p chi t_2p m_1p m_2p x_2p y_1p x_sr m_3p x_3p t_3p y_3p t_2o y_sr t_1p m_3o y_2p m_2o
-71.892 0.0 -2171.4 -2.1767 120.8 -0.25653 -124.56 56.395 -3.13 -9.5309 2.9991 3.1911 12.797 -1791.6 4.7097 46.074 -10.113 0.0 2.9479 -10.116 577.41
-337.04 0.0 -2299.1 -0.86312 69.45 -0.51494 -93.178 110.34 -2.3917 -8.5855 2.9526 2.8586 13.172 -2123.5 4.8569 35.987 -10.045 0.0 2.7716 -9.5509 50.471
-131.42 0.0 -2169.5 -1.1673 7.564 -0.60474 -107.64 78.124 -2.7701 -8.8059 2.9085 3.0088 13.111 -1992.3 4.8674 34.219 -9.9814 0.0 2.9084 -9.8256 70.82
-84.089 0.0 -2295.2 -1.483 7.335 -0.59875 -110.81 59.319 -2.9696 -9.0381 2.6408 3.0198 13.072 -2047.1 4.7795 35.677 -9.8822 0.0 2.8763 -9.9647 96.328
-215.1 0.0 -2161.8 -1.0364 22.95 -0.43229 -130.51 113.8 -2.6394 -8.7212 2.9074 2.9869 12.854 -1972.0 4.9721 37.615 -10.063 0.0 2.891 -9.7241 73.005
-446.59 0.0 -2282.3 -0.90219 104.8 -0.38913 -95.439 110.12 -2.1579 -8.5737 2.5706 3.1273 12.993 -1859.2 4.5723 20.687 -9.7026 0.0 2.8956 -9.4087 42.054
-270.17 0.0 -2112.0 -0.95195 59.88 -0.43827 -104.43 115.11 -2.3721 -8.63 2.5939 3.1543 12.939 -1795.0 4.7428 26.19 -9.8073 0.0 2.9746 -9.5561 52.033
-193.79 0.0 -2157.9 -1.1333 25.57 -0.33467 -135.05 125.57 -2.5145 -8.7586 2.9009 3.2561 12.861 -1697.9 4.5859 30.876 -10.06 0.0 2.9704 -9.6612 64.699
-180.28 0.0 -2276.7 -1.0331 38.51 -0.53319 -93.636 95.819 -2.4694 -8.6746 2.7109 3.1148 13.106 -1916.0 4.6212 23.155 -9.8508 0.0 2.9068 -9.6355 51.662
-132.82 0.0 -2257.4 -1.2687 2.823 -0.50373 -125.11 86.323 -2.7828 -8.8414 2.5456 3.0491 13.151 -2012.2 4.7668 21.203 -9.6912 0.0 2.8982 -9.8701 81.915
-182.2 0.0 -2234.2 -0.96626 37.36 -0.7164 -84.827 84.21 -2.5538 -8.6343 2.6906 2.9791 13.383 -2104.1 4.7919 22.687 -9.6933 0.0 2.8946 -9.687 52.595
-357.29 0.0 -2291.6 -0.89906 71.38 -0.44605 -104.85 122.38 -2.3443 -8.5804 2.8323 2.9559 13.172 -2033.1 4.7471 26.83 -9.9822 0.0 2.8187 -9.5378 53.871
-1225.5 0.0 -2244.7 -0.88846 128.9 -0.20425 -137.15 197.54 -2.0618 -8.5766 2.6401 3.0042 12.795 -1942.5 4.8576 32.725 -9.9771 0.0 2.8606 -9.3259 54.796
-3224.0 0.0 -2293.6 -0.94346 166.4 -0.16159 -134.39 165.3 -1.8965 -8.582 2.9381 2.9745 13.133 -2070.9 4.8167 26.3 -9.9432 0.0 2.8594 -9.2133 43.423
-466.67 0.0 -2334.4 -0.88546 109.9 -0.43354 -88.077 99.58 -2.1478 -8.5554 2.883 3.0752 13.182 -1920.3 4.5214 22.674 -10.033 0.0 2.8601 -9.4013 39.414
-219.23 0.0 -2166.8 -1.036 41.42 -0.42447 -113.47 112.41 -2.4419 -8.6732 2.9611 3.0861 13.033 -1786.5 4.6328 25.443 -10.018 0.0 2.8828 -9.6178 56.552
-138.18 0.0 -2261.0 -1.2788 9.812 -0.36335 -129.27 105.42 -2.6248 -8.8555 2.989 3.2075 12.957 -1748.1 4.4785 29.186 -10.097 0.0 2.8997 -9.7472 69.021
-478.92 0.0 -2193.0 -0.88285 95.23 -0.39289 -105.44 125.2 -2.219 -8.5566 3.1478 3.0394 13.056 -1906.7 4.7659 26.49 -10.118 0.0 2.8908 -9.4538 49.255
-109.81 0.0 -2302.0 -1.1974 13.95 -0.56808 -87.383 78.918 -2.6046 -8.8028 3.3979 3.0956 12.978 -1872.4 4.5914 31.882 -10.191 0.0 2.8744 -9.7301 52.612
-126.84 0.0 -2086.0 -1.2287 7.516 -0.51984 -108.27 85.443 -2.684 -8.8145 3.5325 3.0934 13.093 -1759.0 4.6895 30.193 -10.244 0.0 2.9218 -9.7947 65.388
-195.19 0.0 -2204.7 -0.9771 49.44 -0.57917 -86.228 88.817 -2.4287 -8.6448 3.1007 3.0435 13.129 -1882.6 4.6604 28.395 -10.028 0.0 2.8793 -9.5982 46.78
-369.44 0.0 -2095.9 -0.87487 79.13 -0.48616 -99.456 109.94 -2.3187 -8.5565 3.3972 3.0139 13.262 -1852.5 4.7268 28.271 -10.066 0.0 2.8878 -9.5213 49.011
-754.88 0.0 -2280.0 -0.88888 127.8 -0.33145 -100.19 117.19 -2.0655 -8.5489 3.2512 3.0625 13.063 -1909.6 4.6501 24.804 -10.16 0.0 2.8777 -9.3446 41.431
-706.74 0.0 -2288.2 -0.88731 124.7 -0.33782 -102.1 115.43 -2.081 -8.538 3.5099 3.0301 13.177 -1883.7 4.5678 22.484 -10.166 0.0 2.8335 -9.3602 41.484
-240.16 0.0 -2271.5 -0.97388 45.14 -0.48949 -105.73 110.35 -2.4678 -8.6383 3.2886 2.9552 13.173 -1983.5 4.7166 30.87 -10.193 0.0 2.8091 -9.6272 57.742
-248.69 0.0 -2247.7 -0.93279 57.55 -0.53798 -93.423 100.09 -2.4095 -8.6151 3.4725 3.0093 13.229 -1938.0 4.6638 34.598 -10.37 0.0 2.8548 -9.58 50.388
-133.3 0.0 -2298.9 -1.285 10.56 -0.3666 -124.54 103.33 -2.6112 -8.8572 3.3465 3.1606 12.966 -1762.2 4.4524 31.168 -10.237 0.0 2.8571 -9.7395 66.708
-248.83 0.0 -2264.0 -1.0064 51.72 -0.39902 -112.69 120.59 -2.386 -8.6577 3.3549 3.0809 12.97 -1855.4 4.6381 30.813 -10.279 0.0 2.8717 -9.5744 55.995
-1119.0 0.0 -2113.0 -0.86116 116.1 -0.24128 -143.61 192.2 -2.1371 -8.541 3.439 3.0607 13.141 -1837.6 4.7591 34.392 -10.309 0.0 2.9124 -9.3858 59.259
-375.34 0.0 -1987.1 -1.1466 9.334 -0.21352 -328.9 140.2 -2.7641 -8.78 3.5255 3.157 12.892 -1678.7 4.7994 42.291 -10.281 0.0 2.9675 -9.8109 123.15
-281.16 0.0 -2229.7 -0.96681 57.71 -0.40803 -112.86 120.05 -2.3798 -8.6385 3.2813 3.1111 13.153 -1806.6 4.5235 32.688 -10.176 0.0 2.8718 -9.5588 55.149
-194.24 0.0 -2263.7 -1.0865 22.38 -0.45384 -122.53 108.35 -2.5904 -8.7206 3.3945 3.0227 13.209 -1928.2 4.6388 32.439 -10.263 0.0 2.8447 -9.7149 68.017
-50.396 0.0 -2210.4 -2.033 93.19 -0.49549 -89.809 49.299 -3.192 -9.416 3.5537 3.0569 13.278 -1892.3 4.6047 43.14 -10.358 0.0 2.8773 -10.182 340.57
-161.8 0.0 -2264.7 -1.2171 10.24 -0.39782 -135.62 106.31 -2.6524 -8.8106 3.1671 3.1123 13.173 -1831.1 4.5126 30.322 -10.184 0.0 2.8606 -9.7634 74.355
-99.094 0.0 -2230.4 -1.2312 4.04 -0.82127 -88.151 62.417 -2.8636 -8.839 3.6348 2.9434 13.488 -2090.5 4.7638 37.699 -10.344 0.0 2.8743 -9.903 70.914
-170.62 0.0 -2281.7 -1.2906 5.63 -0.33455 -162.71 113.99 -2.6908 -8.8496 3.2822 3.0939 13.208 -1824.5 4.4832 26.751 -10.131 0.0 2.8274 -9.8036 85.805
-320.73 0.0 -2186.1 -0.92656 62.74 -0.42357 -111.69 122.37 -2.378 -8.6071 3.2606 3.0474 13.158 -1874.1 4.6736 31.078 -10.033 0.0 2.8781 -9.5583 55.618
-381.0 0.0 -2117.8 -0.91024 75.9 -0.37897 -113.74 131.57 -2.305 -8.5962 3.6245 3.1142 13.01 -1772.9 4.709 37.665 -10.45 0.0 2.9373 -9.507 54.154
-98.944 0.0 -2142.6 -1.3945 2.436 -0.48051 -112.32 77.261 -2.7989 -8.9512 3.5988 3.2076 12.98 -1741.2 4.6139 37.679 -10.209 0.0 2.9765 -9.8634 75.473
-249.07 0.0 -2167.4 -0.90683 63.67 -0.61663 -86.375 88.616 -2.3923 -8.5812 3.6211 2.9605 13.393 -1897.6 4.6418 29.612 -10.348 0.0 2.8449 -9.5752 46.026
-139.58 0.0 -2278.2 -1.1653 18.03 -0.49741 -102.17 92.071 -2.5742 -8.7654 3.6372 3.1518 13.141 -1821.4 4.5056 29.983 -10.314 0.0 2.9012 -9.7152 57.991
-79.009 0.0 -2266.7 -1.3764 2.135 -0.75295 -84.747 59.759 -2.8831 -8.9276 3.777 3.0698 13.411 -1940.0 4.5697 35.378 -10.377 0.0 2.9036 -9.9329 71.266
-299.35 0.0 -2369.0 -0.95137 60.98 -0.44164 -108.13 119.62 -2.3685 -8.6052 2.9816 2.944 13.226 -2036.0 4.6312 24.466 -10.139 0.0 2.7742 -9.5649 56.068
-383.47 0.0 -2155.0 -0.89349 77.74 -0.42313 -109.3 122.01 -2.3106 -8.582 3.566 3.1014 13.208 -1818.1 4.6369 35.343 -10.462 0.0 2.9251 -9.509 52.872
-291.43 0.0 -2179.6 -0.98954 48.99 -0.3796 -129.98 130.6 -2.4245 -8.6413 3.4738 3.107 13.202 -1782.6 4.5658 31.459 -10.367 0.0 2.8894 -9.5992 62.398
-227.8 0.0 -2205.6 -1.1144 22.95 -0.34814 -150.95 130.03 -2.5589 -8.7365 3.2319 3.121 13.157 -1786.0 4.549 32.096 -10.383 0.0 2.8856 -9.6942 74.669
-389.79 0.0 -2041.0 -0.91826 59.8 -0.35904 -136.74 146.85 -2.4066 -8.6047 3.5843 3.057 13.091 -1777.1 4.7862 38.176 -10.481 0.0 2.9193 -9.5751 65.279
-119.49 0.0 -2110.7 -1.4484 3.58 -0.42084 -148.01 78.409 -2.8815 -8.9949 3.4491 3.0622 13.046 -1778.2 4.7005 41.162 -10.357 0.0 2.8776 -9.9138 99.308
-327.41 0.0 -2127.9 -0.88096 73.01 -0.52441 -96.253 105.85 -2.3492 -8.5715 3.1526 2.9768 13.177 -1942.8 4.8346 28.605 -10.118 0.0 2.8846 -9.5397 49.797
-291.61 0.0 -2166.7 -0.93682 63.01 -0.45921 -105.25 114.18 -2.3644 -8.6135 2.9341 3.0858 13.06 -1882.1 4.7477 27.459 -10.056 0.0 2.936 -9.5524 53.256
-421.22 0.0 -2263.8 -0.91353 83.48 -0.34877 -115.56 137.52 -2.2588 -8.5985 2.9418 3.0723 12.981 -1900.4 4.6864 30.282 -10.06 0.0 2.8809 -9.4733 53.323
-92.387 0.0 -2332.5 -1.2924 2.559 -0.66081 -91.344 66.74 -2.8114 -8.8926 3.2613 3.0262 13.087 -2068.6 4.7682 36.951 -10.067 0.0 2.8895 -9.8604 66.779
-323.94 0.0 -2314.7 -0.90051 49.49 -0.43765 -114.23 129.23 -2.5116 -8.6277 3.2258 2.8558 13.057 -2140.7 4.9123 42.758 -10.128 0.0 2.7686 -9.6244 64.521
-98.527 0.0 -2264.5 -1.5686 12.97 -0.4821 -141.47 64.321 -2.998 -9.0906 3.1808 3.0445 13.072 -1993.4 4.7612 38.994 -10.037 0.0 2.8887 -9.9941 124.96
-395.49 0.0 -2408.6 -0.92408 77.62 -0.35646 -115.83 135.47 -2.2864 -8.5996 3.1683 3.0027 13.141 -1992.7 4.5673 31.341 -10.184 0.0 2.7882 -9.4953 54.387
-259.92 0.0 -2255.0 -1.09 15.58 -0.32901 -180.19 120.46 -2.7011 -8.746 3.3715 2.9537 13.089 -1930.1 4.7122 42.1 -10.222 0.0 2.7761 -9.7676 88.601
-569.64 0.0 -2336.1 -0.87309 83.73 -0.32419 -123.52 169.09 -2.2922 -8.5776 3.4024 2.9109 13.019 -2051.4 4.7991 39.652 -10.186 0.0 2.7719 -9.4865 59.953
-244.75 0.0 -2237.9 -0.93094 57.75 -0.48478 -93.751 107.27 -2.4061 -8.6557 3.4684 3.0123 12.859 -1938.7 4.827 48.4 -10.467 0.0 2.8758 -9.5565 49.965
-98.582 0.0 -2169.8 -1.5568 15.05 -0.51713 -145.78 58.132 -3.0391 -9.1091 3.4102 2.9407 12.959 -2033.0 4.9836 54.21 -10.428 0.0 2.8653 -9.9919 133.3
-294.41 0.0 -2037.3 -1.0185 22.53 -0.35062 -173.26 126.13 -2.6839 -8.7092 3.5353 3.0441 12.998 -1809.0 4.8635 47.057 -10.348 0.0 2.9206 -9.7439 87.939
-214.62 0.0 -2271.5 -0.98571 39.33 -0.50151 -103.41 105.98 -2.5072 -8.6776 3.3395 3.0036 13.022 -1998.7 4.7921 38.675 -10.181 0.0 2.8707 -9.637 57.512
-95.586 0.0 -2304.8 -1.4601 6.657 -0.57442 -119.04 62.031 -2.9677 -9.0205 3.4605 2.9799 13.312 -1988.2 4.6106 48.183 -10.432 0.0 2.8103 -9.9558 100.71
