# Pastorello et al. 2013 (2013ApJ...767....1P)
#
# Table 1
# Optical Photometry of SN 2009ip
#
# MJD      U    Uerr     B    Berr     V   Verr      R   Rerr      I   Ierr  Source  
56181.67   nan  nan      nan  nan    16.98 0.05    16.58 0.04    16.57 0.07    13 
56188.54   nan  nan      nan  nan      nan  nan    17.66 0.10      nan  nan    7  
56193.46 17.96 0.02    18.23 0.04    18.00 0.04    17.58 0.09    17.58 0.06    10 
56193.59   nan  nan    18.22 0.07    17.97 0.04    17.61 0.06    17.48 0.07    11 
56194.10   nan  nan      nan  nan      nan  nan      nan  nan    17.32 0.10    2  
56194.58   nan  nan    18.14 0.06    17.84 0.03    17.53 0.06    17.45 0.06    11 
56194.66   nan  nan      nan  nan    17.77 0.08    17.12 0.06      nan  nan    13 
56195.09   nan  nan      nan  nan      nan  nan    16.32 0.05    16.53 0.07    26  
56195.63   nan  nan      nan  nan    15.62 0.02    15.48 0.05    15.43 0.04    11 
56195.70   nan  nan      nan  nan      nan  nan      nan  nan    15.03 0.12    5  
56196.01   nan  nan      nan  nan      nan  nan    15.00 0.03    15.04 0.06    26  
56196.57   nan  nan      nan  nan    14.91 0.06      nan  nan      nan  nan    14 
56196.60   nan  nan      nan  nan    14.84 0.02    14.65 0.03    14.67 0.04    11 
56196.98   nan  nan      nan  nan      nan  nan    14.52 0.05    14.56 0.05    26  
56197.57   nan  nan      nan  nan    14.59 0.08      nan  nan    14.45 0.13    14 
56197.63   nan  nan      nan  nan    14.52 0.02    14.37 0.03    14.39 0.04    11 
56198.03   nan  nan      nan  nan      nan  nan      nan  nan    14.33 0.08    2  
56198.56   nan  nan      nan  nan    14.39 0.06      nan  nan    14.19 0.07    14 
56198.80   nan  nan    14.32 0.03    14.32 0.02    14.09 0.04    14.12 0.03    11 
56198.93   nan  nan      nan  nan      nan  nan    14.14 0.05    14.21 0.07    26  
56199.42 13.20 0.03    14.20 0.02    14.28 0.02    14.11 0.01    14.11 0.02    4  
56199.65   nan  nan    14.28 0.02    14.20 0.01    14.09 0.02    14.08 0.02    11 
56199.70   nan  nan      nan  nan    14.23 0.06      nan  nan    13.96 0.07    14 
56200.08   nan  nan      nan  nan      nan  nan    14.05 0.02      nan  nan    15 
56200.43 13.03 0.03    14.09 0.02    14.15 0.02    13.98 0.01    13.98 0.02    4  
56200.57   nan  nan      nan  nan    14.16 0.07      nan  nan    13.99 0.06    14 
56201.11   nan  nan      nan  nan      nan  nan    14.08 0.02      nan  nan    15 
56201.19   nan  nan      nan  nan      nan  nan    13.91 0.04    13.98 0.03    26  
56201.53   nan  nan    14.02 0.04    14.03 0.02    13.91 0.02    13.95 0.01    11 
56201.56   nan  nan      nan  nan    14.02 0.05      nan  nan    13.91 0.04    14 
56201.94   nan  nan      nan  nan      nan  nan    13.85 0.03    13.94 0.03    26  
56202.04   nan  nan      nan  nan      nan  nan    13.91 0.02      nan  nan    15 
56202.44 12.98 0.03    13.97 0.02    14.03 0.02    13.86 0.01    13.88 0.02    4  
56202.55   nan  nan      nan  nan    13.99 0.07      nan  nan    13.81 0.08    14 
56202.76   nan  nan      nan  nan    13.96 0.05      nan  nan      nan  nan    5  
56203.55   nan  nan      nan  nan    13.96 0.06      nan  nan    13.88 0.08    14 
56203.72   nan  nan      nan  nan    13.86 0.03      nan  nan      nan  nan    5  
56204.52   nan  nan    13.95 0.05    13.75 0.02    13.78 0.03    13.79 0.05    11 
56204.55   nan  nan      nan  nan    13.90 0.05      nan  nan    13.80 0.07    14 
56205.11   nan  nan      nan  nan      nan  nan    13.74 0.01      nan  nan    15 
56205.55   nan  nan      nan  nan    13.81 0.05      nan  nan    13.72 0.07    14 
56205.61   nan  nan      nan  nan    13.73 0.05      nan  nan      nan  nan    5  
56206.09   nan  nan      nan  nan      nan  nan    13.70 0.01      nan  nan    15 
56206.54   nan  nan      nan  nan    13.80 0.05      nan  nan    13.68 0.05    14 
56206.71   nan  nan      nan  nan    13.71 0.03      nan  nan      nan  nan    5  
56207.09   nan  nan      nan  nan      nan  nan    13.70 0.01      nan  nan    15 
56207.40 12.82 0.04    13.80 0.02    13.82 0.02    13.65 0.02    13.66 0.02    4  
56208.41   nan  nan      nan  nan    13.83 0.02    13.65 0.01    13.67 0.02    4  
56208.54   nan  nan      nan  nan    13.83 0.05      nan  nan    13.69 0.07    14 
56209.42   nan  nan      nan  nan    13.88 0.02    13.73 0.01    13.68 0.02    4  
56209.60   nan  nan      nan  nan    13.88 0.03    13.75 0.04    13.69 0.07    13 
56209.70   nan  nan      nan  nan    13.86 0.05      nan  nan    13.63 0.09    14 
56210.07   nan  nan      nan  nan      nan  nan    13.74 0.01      nan  nan    15 
56210.43 12.99 0.03    13.91 0.02    13.92 0.01    13.73 0.01    13.70 0.02    4  
56210.53   nan  nan      nan  nan    13.87 0.06      nan  nan    13.71 0.07    14 
56210.65   nan  nan    13.95 0.03      nan  nan      nan  nan      nan  nan    11 
56211.08   nan  nan      nan  nan      nan  nan    13.76 0.01      nan  nan    15 
56211.65   nan  nan      nan  nan    13.91 0.03      nan  nan    13.61 0.07    14 
56212.39 13.04 0.03    13.96 0.02    13.90 0.02    13.73 0.01    13.69 0.02    4  
56212.53   nan  nan      nan  nan    13.87 0.06      nan  nan    13.67 0.06    14 
56213.53   nan  nan      nan  nan    13.87 0.01    13.74 0.03    13.66 0.05    11 
56213.58   nan  nan      nan  nan    13.86 0.06      nan  nan    13.59 0.11    14 
56214.38 13.02 0.03    13.96 0.02    13.91 0.02    13.71 0.01    13.68 0.02    4  
56216.11   nan  nan      nan  nan      nan  nan    13.79 0.01      nan  nan    15 
56216.73   nan  nan    14.11 0.02    14.00 0.03    13.79 0.02    13.74 0.01    11 
